Zip,Median,Mean,Pop,Wealth,Ratio
3243,62943,70846,991,7903,0.13
3244,57426,65981,6950,8555,0.15
3245,44153,63301,1937,19148,0.43
3246,45867,60388,16437,14520,0.32
3249,60450,85894,6763,25443,0.42
3251,49073,61071,1269,11998,0.24
3253,58931,74305,5890,15373,0.26
3254,74162,102346,4478,28184,0.38
3255,67396,80093,1738,12697,0.19
3256,585,695,16,109,0.19
3257,66175,93511,4053,27335,0.41
3258,74808,84333,2221,9525,0.13
3259,51866,69455,290,17589,0.34
3260,67396,80093,628,12697,0.19
3261,64816,77245,3674,12428,0.19
3262,44050,54023,1023,9973,0.23
3263,57987,64562,3952,6574,0.11
3264,43783,55678,6223,11894,0.27
3266,51840,69530,2072,17689,0.34
3268,64522,73462,1031,8940,0.14
3269,61702,74989,2586,13287,0.22
3273,67396,80093,347,12697,0.19
3275,58388,69108,11732,10720,0.18
3276,55931,60462,7952,4531,0.08
3278,63262,71038,2897,7776,0.12
3279,44050,54023,807,9973,0.23
3280,52648,63213,895,10565,0.20
3281,78480,88983,7775,10503,0.13
3282,59259,66151,791,6892,0.12
3284,81000,87997,736,6997,0.09
3285,49073,61071,1823,11998,0.24
3287,62943,70846,1076,7903,0.13
3290,98477,105299,3590,6821,0.07
3291,98542,105353,51,6811,0.07
3293,44050,54023,114,9973,0.23
3301,52876,72338,31800,19461,0.37
3303,57450,64970,14137,7519,0.13
3304,103270,119136,7136,15865,0.15
3307,74570,93317,4497,18747,0.25
3431,49288,64159,24237,14871,0.30
3440,61481,66225,2487,4744,0.08
3441,36932,48336,312,11404,0.31
3442,67351,77729,1409,10378,0.15
3443,79400,100196,695,20796,0.26
3444,60369,74292,1473,13923,0.23
3445,60369,74292,755,13923,0.23
3446,52053,62433,5949,10380,0.20
3447,67839,76203,2151,8364,0.12
3448,55170,68978,802,13808,0.25
3449,64231,93445,1738,29214,0.45
3450,60369,74292,1065,13923,0.23
3451,44533,50539,4118,6005,0.13
3452,56637,71304,5477,14667,0.26
3455,55913,65606,2036,9692,0.17
3456,55170,68978,749,13808,0.25
3457,60369,74292,698,13923,0.23
3458,70275,86328,6274,16053,0.23
3461,68250,78731,5444,10481,0.15
3462,79400,100196,1607,20796,0.26
3464,60369,74292,876,13923,0.23
3465,55910,65536,1969,9625,0.17
3466,79400,100196,1259,20796,0.26
3467,79400,100196,1722,20796,0.26
3470,43642,54386,4840,10744,0.25
3561,44787,53312,5864,8524,0.19
3570,39342,45740,10270,6397,0.16
